win%,k/d,dmg/rnd,matchs_played,headshot_%,wins_total,kills_total,avg_kill_per_rnd,rank_Ascendant,rank_Bronze,rank_Diamond,rank_Gold,rank_Immortal,rank_Iron,rank_Platinum,rank_Radiant,rank_Silver,rank_Unranked,performance,skill,consistency,dmg_indicator
52.8,0.595,0.7099999999999999,0.9103703703703704,0.778125,0.87,0.8477916666666667,0.64,False,False,False,False,True,False,False,False,False,False,0.2887592430858806,0.5992,0.4864628820960698,0.3448
66.7,0.58,0.67,0.1318518518518518,0.465625,0.1242857142857142,0.0943333333333333,0.5599999999999999,False,False,False,False,False,False,False,False,True,False,0.4696545470173628,0.4479999999999999,0.4954873646209386,0.4662999999999999
50.8,0.515,0.5866666666666667,0.6822222222222222,0.7875,0.6914285714285714,0.6880833333333334,0.72,False,False,False,False,True,False,False,False,False,False,0.6729188514357053,0.5952000000000001,0.5093632958801498,0.5932666666666666
58.3,0.565,0.4841666666666666,0.9392592592592592,0.675,0.9042857142857142,0.8445833333333334,0.64,True,False,False,False,False,False,False,False,False,False,0.313659274540141,0.2256,0.5270758122743683,0.3347666666666667
64.0,0.46,0.345,0.2822222222222222,0.36875,0.27,0.199625,0.48,False,True,False,False,False,False,False,False,False,False,0.5566592737551642,0.496,0.5007610350076104,0.5222
37.5,0.345,0.2458333333333333,0.057037037037037,0.58125,0.0485714285714285,0.048125,0.5599999999999999,False,True,False,False,False,False,False,False,False,False,0.4213694425637553,0.4508,0.476303317535545,0.4496
57.7,0.47,0.3549999999999999,0.3674074074074074,0.4,0.3542857142857142,0.2591666666666666,0.48,False,False,False,False,False,False,False,False,True,False,0.4407105847520354,0.3779999999999999,0.5181347150259067,0.4263666666666666
57.1,0.52,0.575,0.7325925925925926,0.459375,0.6985714285714286,0.59925,0.5599999999999999,False,False,False,False,False,False,True,False,False,False,0.5044348438300051,0.3359999999999999,0.4905913978494624,0.4957666666666666
62.0,0.5,0.4974999999999999,0.1214814814814814,0.6375,0.1185714285714285,0.0991666666666666,0.5599999999999999,False,False,False,True,False,False,False,False,False,False,0.5635325336241368,0.6368,0.5267175572519084,0.5010333333333333
57.4,0.52,0.4408333333333333,0.6177777777777778,0.3875,0.5671428571428572,0.5610833333333334,0.64,False,False,False,True,False,False,False,False,False,False,0.2788571428571428,0.4247999999999999,0.5,0.3285333333333333
44.2,0.505,0.5,0.5466666666666666,0.275,0.4914285714285714,0.4350833333333333,0.5599999999999999,False,False,False,False,False,False,False,False,True,False,0.5586209651645894,0.4591999999999999,0.4865771812080537,0.5388333333333334
48.9,0.525,0.4916666666666666,0.9074074074074074,0.634375,0.8514285714285714,0.8139166666666666,0.64,False,False,True,False,False,False,False,False,False,False,0.7121425553744947,0.4448,0.5006337135614702,0.6310333333333333
62.6,0.62,0.6391666666666665,0.2096296296296296,0.625,0.2157142857142857,0.1927083333333333,0.64,False,False,False,False,False,False,True,False,False,False,0.5656639712488769,0.2632,0.4528301886792453,0.5844333333333334
45.5,0.655,0.6483333333333334,0.0629629629629629,0.2875,0.0514285714285714,0.0469166666666666,0.5599999999999999,False,False,False,False,False,True,False,False,False,False,0.6135472928897585,0.5112,0.4931506849315068,0.5706333333333333
50.8,0.64,0.6525000000000001,0.0955555555555555,0.471875,0.0757142857142857,0.0848333333333333,0.64,False,False,False,False,False,False,False,False,True,False,0.5262448428764218,0.7968000000000001,0.5182186234817814,0.4840666666666666
48.5,0.485,0.5566666666666668,0.4540740740740741,0.853125,0.4328571428571429,0.45575,0.72,False,False,True,False,False,False,False,False,False,False,0.717264558570681,0.6560000000000001,0.5117739403453689,0.6208
42.9,0.545,0.5308333333333333,0.8807407407407407,0.615625,0.8371428571428572,0.868875,0.72,False,False,True,False,False,False,False,False,False,False,0.3123369963369963,0.6607999999999999,0.4615384615384615,0.3813
50.0,0.535,0.5875,0.2259259259259259,0.559375,0.2314285714285714,0.1769583333333333,0.5599999999999999,False,False,False,False,False,False,True,False,False,False,0.2597626630269942,0.4247999999999999,0.4848726114649681,0.325
